epoch,accuracy,loss,mae,mse,val_accuracy,val_loss,val_mae,val_mse
0,0.3020137,1.707022160769784,0.20036708,0.09698771,0.35053065,1.3865581548438881,0.18193854,0.085505225
1,0.5938544,1.2018356165465187,0.16863954,0.07642409,0.9221698,0.9873686905177135,0.15158491,0.06336194
2,0.94004846,0.8032044985077598,0.13229346,0.049832456,0.9761203,0.601968747264934,0.10854003,0.034382224
3,0.9729487,0.47976634631501164,0.090049714,0.025604032,0.9818691,0.34474343961139897,0.06909577,0.015816875
4,0.9809283,0.28574321952892495,0.057935704,0.012628707,0.9910083,0.20307229599862728,0.04331194,0.0074429517
5,0.9894719,0.178643429243469,0.037749156,0.006726348,0.9970519,0.12549106481502642,0.027704477,0.0037854468
6,0.9922919,0.11892963792471324,0.025610028,0.0039545344,0.9973467,0.08256844037546301,0.018615488,0.002051318
7,0.9935453,0.08708169125020504,0.018769808,0.0026984657,0.9982311,0.061913557842655,0.013926446,0.0013947512
8,0.9944644,0.0705419265948993,0.015080144,0.0021283966,0.9983785,0.049826569644347674,0.011216664,0.0010374814
9,0.99444354,0.06041506595192427,0.012796471,0.0018040533,0.9982311,0.04249260356684901,0.009521544,0.0008683926
10,0.9946524,0.054150296380135785,0.0113865305,0.0016378835,0.9982311,0.03838167184928678,0.008516227,0.00078733073
11,0.99477774,0.050695908325599795,0.010577811,0.0015612202,0.9982311,0.036001458131479765,0.0079714395,0.0007353591
12,0.9946315,0.048644267490761166,0.010116193,0.0014913914,0.9982311,0.03535941334546737,0.007807396,0.000725804
13,0.9947986,0.04825978618075344,0.010015995,0.0014865773,0.9982311,0.03460742473461718,0.0076551074,0.00070710614
14,0.9947986,0.04704057661328405,0.009697035,0.0014713032,0.9982311,0.032964640841731487,0.0072079133,0.0006916431
15,0.9946524,0.04454850127551964,0.009093393,0.0014239836,0.9982311,0.02999595398048185,0.006534887,0.00063477905
16,0.9948195,0.040805213477084025,0.008249112,0.0013283179,0.9982311,0.02647045820529731,0.0057021044,0.00057708216
17,0.99477774,0.036888883469058546,0.007347822,0.0012591488,0.9982311,0.02312586865967737,0.004900708,0.0005291033
18,0.99511194,0.032766393642314776,0.0063898186,0.0011474158,0.9982311,0.02034124628341985,0.0041711517,0.0005125284
19,0.99502844,0.029711359606328654,0.0056006075,0.0011107444,0.9980837,0.01765651334920582,0.0036347432,0.00046068037
20,0.99517465,0.02753032707325357,0.0050495365,0.0010698964,0.9982311,0.015637592184093763,0.0031959296,0.00042421636
21,0.9951537,0.02583228619669609,0.0046892744,0.0010412227,0.9982311,0.014988548368356138,0.003004384,0.00043060325
22,0.9952791,0.024765854539538928,0.004434884,0.0010330698,0.9982311,0.014348865855696067,0.0027762216,0.00043970684
23,0.9952582,0.024144485495725575,0.004252384,0.0010260856,0.9982311,0.013715585711289127,0.0026502402,0.00042771577
24,0.9952791,0.023464804101874803,0.0041340515,0.0010027591,0.9982311,0.013501421003690306,0.0026119784,0.00042258916
25,0.9952582,0.023386032492380568,0.0040853857,0.0010048357,0.9982311,0.01340801102759422,0.0025981988,0.0004198827
26,0.99513286,0.02331956783757809,0.004087472,0.0010102885,0.9982311,0.013277290178076277,0.0025744373,0.00041711715
27,0.9953417,0.023275865682644798,0.004039364,0.0010137178,0.9982311,0.013170928158358021,0.0025328416,0.0004205773
28,0.9952791,0.022492701853849592,0.0039194324,0.000978162,0.9982311,0.01292303955744741,0.0024678265,0.00042119581
29,0.99536264,0.022631593184286657,0.0038675568,0.0009970622,0.9982311,0.012361264822758594,0.0023812451,0.00040474953
30,0.9952791,0.02213419932513473,0.003756638,0.000993613,0.9982311,0.011909319658957,0.0022712327,0.00040173414
31,0.9954253,0.02105931202472651,0.0036073758,0.00096166175,0.9982311,0.011450158291549052,0.0021746298,0.00039527888
32,0.9952582,0.020786634013853608,0.0035190398,0.0009806963,0.9982311,0.011338600396828831,0.0020991715,0.00040782924
33,0.9951537,0.020336811773150283,0.003398093,0.0009761403,0.9982311,0.010946987521887388,0.0020166517,0.0004008246
34,0.99546707,0.020130873957828165,0.0033095046,0.00095672946,0.9982311,0.010735832989426717,0.0019771305,0.00039634496
35,0.99557155,0.019824939796123354,0.0032481612,0.0009445239,0.9982311,0.010581606542164425,0.0019319141,0.00039709304
